"ID","rep","trait","Value","SE","SD","Date.run"
"20190311","plant_1","g0M",0.0311511799633182,0.00404907775912544,NA,2020-10-21
"20190311","plant_1","g1M",0.254765154927286,0.0516402716962237,NA,2020-10-21
"20190311","plant_1","g0BB",0.0316864331762743,0.00455577050786937,NA,2020-10-21
"20190311","plant_1","g1BB",3.64845189053955,0.144116202949746,NA,2020-10-21
"20190311","plant_2","g0M",0.032847885708211,0.00346865023266792,NA,2020-10-21
"20190311","plant_2","g1M",0.268692807629284,0.0416712410647299,NA,2020-10-21
"20190311","plant_2","g0BB",0.0321412771332696,0.00357233647851753,NA,2020-10-21
"20190311","plant_2","g1BB",3.74978970517011,0.107293594760356,NA,2020-10-21
"20190311","plant_3","g0M",0.0287088741221709,0.0043644114780088,NA,2020-10-21
"20190311","plant_3","g1M",0.199716653431525,0.0614814433713578,NA,2020-10-21
"20190311","plant_3","g0BB",0.0289324938050232,0.00455260463662242,NA,2020-10-21
"20190311","plant_3","g1BB",3.50166102946401,0.158024681385366,NA,2020-10-21
